ID,Bucket,Question,Complexity,Popularity
APP_ISSUES_001,Application Issues,"I installed GIMP from the software store. When I try to save my image to my USB stick, the stick doe",Beginner,3
APP_ISSUES_002,Application Issues,"I downloaded the BalenaEtcher AppImage. I made it executable, but when I double-click it, absolutely",Intermediate,3
APP_ISSUES_003,Application Issues,I'm using VLC installed via Flatpak on Fedora. I can't seem to open video files that are stored on m,Beginner,4
APP_ISSUES_004,Application Issues,Why does Firefox take like 10 seconds to open on a cold boot? It's really annoying compared to Windo,Beginner,4
APP_ISSUES_005,Application Issues,I'm trying to install a .deb file I downloaded for a printer driver. `dpkg -i` says 'dependency prob,Intermediate,4
APP_ISSUES_006,Application Issues,"I switched my system theme to Dark Mode, but my Flatpak apps (like Calculator) are still white and l",Intermediate,3
APP_ISSUES_007,Application Issues,Discord won't open. It just shows a grey box saying 'Update Available' but the deb file on the websi,Beginner,4
APP_ISSUES_008,Application Issues,"I can't update anything. The App Center says 'Unable to update snap-store: cannot refresh ""snap-stor",Beginner,4
APP_ISSUES_009,Application Issues,"I enabled Proton for a Windows game on Steam, but when I click Play, it says 'Launching' then immedi",Intermediate,3
APP_ISSUES_010,Application Issues,I tried to run `apt update` but I get an error: 'The following signatures couldn't be verified becau,Intermediate,4
APP_ISSUES_011,Application Issues,I can't share my screen on Zoom. The button works but the other person just sees a black screen. I'm,Intermediate,4
APP_ISSUES_012,Application Issues,"I use the Krita AppImage. It works great, but I hate navigating to my Downloads folder to run it. Ho",Beginner,2
APP_ISSUES_013,Application Issues,I tried `sudo add-apt-repository ppa:some/ppa` on Debian but it says 'command not found'.,Intermediate,4
APP_ISSUES_014,Application Issues,My root partition is full! I checked usage and `/var/lib/snapd` is taking up huge amounts of space. ,Intermediate,4
APP_ISSUES_015,Application Issues,I installed Ubuntu but my resolution is stuck at 800x600 and games are slow. I have an RTX 3060.,Intermediate,4
APP_ISSUES_016,Application Issues,"I installed VS Code from Flathub. I'm trying to open a terminal inside VS Code to run `npm install`,",Beginner,3
APP_ISSUES_017,Application Issues,"Every time I open my 'Videos' folder, the file manager (Nemo) crashes and closes immediately.",Intermediate,3
APP_ISSUES_018,Application Issues,I tried to `pip install requests` but I get 'EnvironmentError: Externally-managed-environment'. What,Intermediate,4
APP_ISSUES_019,Application Issues,I messed up my Wine settings trying to install Photoshop. How do I completely reset Wine to default?,Advanced,2
APP_ISSUES_020,Application Issues,Watching YouTube in Chrome uses 80% CPU and makes my laptop hot. It runs fine on Windows.,Intermediate,4
APP_ISSUES_101,Application Issues,I'm trying to install software but I keep getting 'Could not get lock /var/lib/dpkg/lock-frontend'. ,Beginner,4
APP_ISSUES_102,Application Issues,Trying to update with `yay` and it fails every time on 'libfoo'. Error: 'One or more PGP signatures ,Intermediate,3
APP_ISSUES_103,Application Issues,"I have a bunch of custom fonts installed in my home folder `.fonts`, but LibreOffice Flatpak can't s",Intermediate,3
APP_ISSUES_104,Application Issues,I love AppImages but I hate that they look like a generic gear icon in my dock. How do I fix the ugl,Beginner,3
APP_ISSUES_105,Application Issues,I tried to save a PDF to my `/tmp` folder from Firefox and it failed. It says 'Permission denied'. I,Beginner,3
APP_ISSUES_201,Application Issues,Everyone keeps mentioning Flatseal to fix permissions. How do I actually install it on Ubuntu?,Beginner,3
APP_ISSUES_202,Application Issues,I downloaded a Linux ISO but I want to make sure it's not corrupted before I burn it. How do I check,Intermediate,3
APP_ISSUES_203,Application Issues,I want to remove the Firefox Snap and install the classic .deb version. What is the correct way to d,Intermediate,3
APP_ISSUES_204,Application Issues,I downloaded a file ending in .AppImage. How do I run it? Double clicking does nothing.,Beginner,4
APP_ISSUES_301,Application Issues,I want to install Spotify. Should I use the Snap version that comes with Ubuntu or set up Flatpak? W,Intermediate,4
APP_ISSUES_302,Application Issues,"On Arch, I see `steam` and `steam-native-runtime`. Which one should I be using for the least amount ",Intermediate,3
APP_ISSUES_303,Application Issues,"I want to install Kdenlive. The version in `apt` seems old. Should I use Snap, Flatpak, or AppImage?",Beginner,3
APP_ISSUES_401,Application Issues,"I uninstalled a bunch of apps, but I think they left a lot of unused libraries behind. What's the co",Beginner,3
APP_ISSUES_402,Application Issues,Is there a single command to update all my Flatpaks at once without opening the software center?,Beginner,3
APP_ISSUES_403,Application Issues,I have an AppImage I use daily. I'm tired of typing the full path `./Downloads/app-v1.2.3.AppImage`.,Intermediate,3
APP_ISSUES_404,Application Issues,I noticed `/var/lib/snapd/cache` is huge. Is there a safe way to clean up old snap download data?,Intermediate,3
APP_ISSUES_405,Application Issues,My web browser is completely frozen and won't close when I click X. How do I force kill it without r,Beginner,4
APP_ISSUES_406,Application Issues,I want my Debian server to install security updates automatically so I don't have to remember.,Intermediate,3
APP_ISSUES_407,Application Issues,How do I check if my game is actually using my Nvidia GPU and not the integrated graphics?,Intermediate,4
